objID,detectID,imageID,skyCellID,filterid,filterType,obsTime,ra,dec,psfFlux,psfFluxErr,psfMajorFWHM,psfMinorFWHM,psfQfPerfect,apFlux,apFluxErr,apFillF,apRadius,infoFlag,infoFlag2,infoFlag3
108942495015106395,89748483460000925,7826146,11,2,r,54998.485066,249.50147285,0.78825921,6.857379776192829e-05,1.9620899820438353e-06,1.8170100450515747,1.7066700458526611,0.99897700548172,6.09558992437087e-05,9.031559784489218e-07,0.9181470274925232,3.8489298820495605,102760517,128,7374912
108942495015106395,89749681460001102,7827446,11,2,r,54998.4970382,249.50149303,0.78827831,6.966610089875758e-05,1.922250021380023e-06,1.634950041770935,1.6028399467468262,0.9991639852523804,6.221789953997359e-05,9.170149724013754e-07,0.9127050042152405,3.5922999382019043,102760453,128,7374912
108942495015106395,115460186360001545,14332636,11,4,z,55255.6020422,249.50148227,0.78826091,4.479930066736415e-05,3.423670023039449e-06,1.081339955329895,0.9477589726448059,0.9971550107002258,4.5501499698730186e-05,1.0629599955791491e-06,0.8684750199317932,2.3088300228118896,35651585,0,7374912
108942495015106395,123750524310000861,17090531,11,2,r,55338.5054795,249.50148169,0.78824639,6.733040208928287e-05,2.2749500203644857e-06,2.3835599422454834,2.2248599529266357,0.9992460012435913,5.526830136659555e-05,8.221870189117908e-07,0.9404940009117126,5.385550022125244,102760453,128,7342144
108942495015106395,123751618310000907,17092331,11,2,r,55338.5164218,249.50148857,0.78828151,6.607409886782989e-05,2.198670017605764e-06,2.1842598915100098,2.132189989089966,0.999239981174469,5.492889977176674e-05,8.226870136240905e-07,0.9374229907989502,5.129169940948486,102760453,128,7342144
108942495015106395,124135761250001480,17299525,11,3,i,55342.3578779,249.50149765,0.78825552,5.3487401601159945e-05,2.8832500902353786e-06,1.3745800256729126,1.1999499797821045,0.9996269941329956,4.827079828828573e-05,7.733079883109895e-07,0.8865320086479187,2.8211700916290283,35651585,0,7374912
108942495015106395,132924988550001464,21078455,11,4,z,55430.2500586,249.50149138,0.78825667,3.8261699955910444e-05,2.9354200705711264e-06,1.0856300592422485,0.8975800275802612,0.9991099834442139,2.6768200768856332e-05,8.290280106848513e-07,0.8527560234069824,2.309190034866333,35651585,0,40929344
108942495015106395,132926076550001794,21080555,11,4,z,55430.260949,249.50148963,0.78826842,4.065269968123175e-05,2.9802199605910573e-06,0.9844300150871277,0.8670650124549866,0.9983850121498108,3.198780177626759e-05,9.026720135807409e-07,0.8455110192298889,2.05226993560791,35651585,0,7374912
108942495015106395,132927314550001893,21082655,11,5,y,55430.2733274,249.50148068,0.78826092,4.109469955437817e-05,7.355849902523914e-06,0.9876270294189453,0.8567739725112915,0.9982560276985168,5.967900142422877e-05,1.9584499568736646e-06,0.8455110192298889,2.0525400638580322,35651585,0,7342144
108942495015106395,132928386550002339,21084655,11,5,y,55430.2840414,249.50149518,0.78820886,3.964710049331188e-05,6.928420134499902e-06,0.9626219868659973,0.8726950287818909,0.9977530241012573,3.752679913304746e-05,1.5194600564427674e-06,0.8405370116233826,2.052459955215454,35651585,0,7374912
