objID,detectID,imageID,skyCellID,filterid,filterType,obsTime,ra,dec,psfFlux,psfFluxErr,psfMajorFWHM,psfMinorFWHM,psfQfPerfect,apFlux,apFluxErr,apFillF,apRadius,infoFlag,infoFlag2,infoFlag3
110431817100904541,114156469230000124,13594823,50,1,g,55242.5650095,181.71005622,2.02840433,0.00011984199954895303,1.6148300119311898e-06,1.229140043258667,1.1492600440979004,0.9994450211524963,0.00012104200141038746,1.189349973174103e-06,0.8865320086479187,2.8231000900268555,102760517,128,7374912
110431817100904541,114157453230000106,13596023,50,1,g,55242.5748486,181.71006075,2.02840429,0.00012009299825876951,1.5643799997633323e-06,1.2397899627685547,1.1286100149154663,0.9980790019035339,0.00012022499868180603,1.1828500419142074e-06,0.8865320086479187,2.8231201171875,102760517,128,7374912
110431817100904541,114650413350000181,13787035,50,2,r,55247.5043414,181.71005612,2.0284057,8.868129953043535e-05,1.988340045500081e-06,1.8287500143051147,1.7031300067901611,0.9990310072898865,9.027079795487225e-05,1.113299958888092e-06,0.913902997970581,3.8494699001312256,102760453,128,7374912
110431817100904541,114651498350000176,13788535,50,2,r,55247.5152047,181.7100458,2.02839719,8.781249925959855e-05,1.8552100300439633e-06,1.5162299871444702,1.4275599718093872,0.9978780150413513,8.346849790541455e-05,1.0700199482016615e-06,0.9094570279121399,3.5928499698638916,102760453,128,7374912
110431817100904541,115057464230000250,14050223,50,3,i,55251.5748276,181.71006193,2.0284111,6.223649688763544e-05,1.8509799701860175e-06,1.189579963684082,0.9380760192871094,0.9980049729347229,6.647210102528334e-05,1.0720300451794174e-06,0.8684750199317932,2.3092899322509766,102760453,128,7342144
110431817100904541,115058319230000238,14051823,50,3,i,55251.5833825,181.71006695,2.02840456,6.510369712486863e-05,1.8065200038108742e-06,1.1186699867248535,0.9304500222206116,0.9991000294685364,6.13922966294922e-05,1.0280300557496957e-06,0.8645449876785278,2.3092100620269775,102760517,128,7342144
110431817100904541,122830398460000390,16661446,50,4,z,55329.3041666,181.71005173,2.02839382,5.003159822081216e-05,3.837029908027034e-06,1.5756900310516357,1.1975599527359009,0.9988459944725037,5.9469399275258183e-05,1.2269899798411643e-06,0.8974570035934448,3.078589916229248,35651585,0,7374912
110431817100904541,122831589360000676,16663636,50,4,z,55329.3160687,181.71004016,2.0284098,4.430770059116185e-05,3.657389925137977e-06,1.298949956893921,1.2557100057601929,0.9977840185165405,4.49838989879936e-05,1.0656699487299193e-06,0.8839020133018494,2.821959972381592,35651585,0,7374912
110431817100904541,124525010350000632,17478235,50,5,y,55346.2502865,181.71009109,2.02841323,5.630830128211528e-05,1.0402700354461558e-05,1.3281999826431274,1.266260027885437,0.9996659755706787,7.062750228215009e-05,2.141900040442124e-06,0.8864049911499023,3.078890085220337,35651585,0,7374912
110431817100904541,147166577350000309,27941235,50,4,z,55572.6659552,181.71005423,2.02841159,5.231690010987222e-05,2.6412499209982343e-06,1.3456499576568604,1.2595000267028809,0.9990760087966919,5.5968699598452076e-05,1.18624996048311e-06,0.8974570035934448,3.0844199657440186,35651585,0,7342144
110431817100904541,147167138350000292,27942435,50,4,z,55572.6715631,181.71005017,2.02840879,5.052709821029566e-05,2.4754199330345728e-06,1.1549999713897705,1.107300043106079,0.9978489875793457,5.300429984345101e-05,1.1710400258380105e-06,0.8689860105514526,2.57027006149292,35651585,0,7342144
110431817100904541,147660559450000324,28144045,50,4,z,55577.6057667,181.71005098,2.02838655,4.512779923970811e-05,2.588200004538521e-06,1.389240026473999,1.2135800123214722,0.9984279870986938,4.634560173144564e-05,1.0773500207506004e-06,0.8891630172729492,2.8271400928497314,35651585,0,7374912
110431817100904541,148961215350000399,28977035,50,5,y,55590.6123295,181.70999137,2.02846249,4.468260158319026e-05,5.3378298616735265e-06,0.87226402759552,0.8280990123748779,0.9973620176315308,4.86171011289116e-05,1.7576500113136717e-06,0.8455110192298889,2.056420087814331,35651585,0,7374912
110431817100904541,148962283350000401,28979035,50,5,y,55590.6230162,181.71005548,2.02840633,5.035219874116592e-05,5.7117699725495186e-06,1.009950041770935,0.9141659736633301,0.9984109997749329,7.203719724202529e-05,2.115880079145427e-06,0.8645449876785278,2.313460111618042,35651585,0,7374912
110431817100904541,152952745350000113,30734935,50,1,g,55630.5277059,181.71004258,2.02839861,0.00012714100012090057,2.0285099253669614e-06,1.6330000162124634,1.5180100202560425,0.9981539845466614,0.00015012100629974157,1.499160021012358e-06,0.9094570279121399,3.5985100269317627,102776839,128,108005440
110431817100904541,152953989350000120,30736735,50,1,g,55630.5401518,181.71004865,2.02840734,0.0001279660064028576,2.305089992660214e-06,1.6969300508499146,1.546280026435852,0.998740017414093,0.00013725599274039268,1.5547400380455656e-06,0.9062089920043945,3.598860025405884,102760453,128,108005440
110431817100904541,152955407350000189,30738735,50,2,r,55630.5543102,181.71004668,2.02839265,9.032880188897252e-05,1.8216500166090555e-06,1.7356499433517456,1.5784800052642822,0.9986950159072876,9.538119775243104e-05,1.070930011337623e-06,0.902961015701294,3.597529888153076,102760517,128,7342144
110431817100904541,152956576350000187,30740635,50,2,r,55630.5659971,181.71004619,2.0283994,8.751879795454443e-05,2.0513400613708654e-06,1.5922499895095825,1.4582699537277222,0.9982619881629944,8.824870019452646e-05,1.1299499647066114e-06,0.9059590101242065,3.341320037841797,102760517,128,7342144
110431817100904541,153157049240000249,30870724,50,3,i,55632.5707643,181.71004225,2.02838951,6.486140046035871e-05,1.5571899893984664e-06,1.1188499927520752,1.0248600244522095,0.9971920251846313,6.28003035672009e-05,8.850549875205616e-07,0.8785349726676941,2.56961989402771,102760517,128,7374912
110431817100904541,153158370240000261,30872624,50,3,i,55632.5839749,181.71005054,2.02840475,6.404949817806482e-05,1.8975199509441154e-06,1.4630299806594849,1.3423399925231934,0.9988290071487427,6.0133101214887574e-05,8.613840236648684e-07,0.9059590101242065,3.340480089187622,102760453,128,7374912
110431817100904541,153355159260000187,31008026,50,2,r,55634.5518377,181.71004905,2.02840222,8.425109990639612e-05,1.3676899470738135e-06,0.9723759889602661,0.9195240139961243,0.9989849925041199,8.337340113939717e-05,1.033779994941142e-06,0.8455110192298889,2.047179937362671,102760517,128,7374912
110431817100904541,153356267260000189,31009826,50,2,r,55634.5629115,181.71005155,2.02840517,8.622089808341116e-05,1.4402299939320073e-06,1.0416899919509888,0.9775689840316772,0.9983289837837219,8.009679731912911e-05,1.0179400078413892e-06,0.8504840135574341,2.04721999168396,102760517,128,7374912
