objID,RAMean,DecMean,nDetections,ng,nr,ni,nz,ny,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr,gMeanApMag,gMeanApMagErr,rMeanApMag,rMeanApMagErr,iMeanApMag,iMeanApMagErr,zMeanApMag,zMeanApMagErr,yMeanApMag,yMeanApMagErr,gQfPerfect,rQfPerfect,iQfPerfect,zQfPerfect,yQfPerfect
107580158424764461,15.842489358203,-0.346608480697618,71,14,19,20,16,2,19.102699279785156,0.008724000304937363,19.540300369262695,0.021942000836133957,19.94409942626953,0.012001999653875828,20.146799087524414,0.023764999583363533,19.95159912109375,0.18828600645065308,19.092599868774414,0.00916799996048212,19.56999969482422,0.018404999747872353,19.97909927368164,0.017614999786019325,20.12969970703125,0.06931900233030319,21.181699752807617,0.00037399999564513564,0.9991689920425415,0.9987559914588928,0.9994350075721741,0.9992129802703857,0.9973829984664917
97850370715284759,37.0715872650117,-8.45452784480112,58,12,13,18,12,3,19.81719970703125,0.01562800072133541,20.166000366210938,0.01657399907708168,20.475500106811523,0.020781999453902245,20.734699249267578,0.04255000129342079,20.739900588989258,0.14673399925231934,19.83679962158203,0.013124999590218067,20.187700271606445,0.055876001715660095,20.523000717163086,0.03359699994325638,20.802600860595703,0.08822199702262878,20.742900848388672,0.14673399925231934,0.9996920228004456,0.9995189905166626,0.9986370205879211,0.9992849826812744,0.9975299835205078
148510422289556735,42.2290143100327,33.7634046739909,59,10,15,14,10,10,18.378299713134766,0.004918000195175409,18.731800079345703,0.005830000154674053,19.0177001953125,0.008921000175178051,19.262300491333008,0.015115000307559967,19.43910026550293,0.0483269989490509,18.35140037536621,0.006818000227212906,18.69860076904297,0.008201000280678272,18.971900939941406,0.011544999666512012,19.198200225830078,0.03293899819254875,19.386499404907227,0.05698800086975098,0.998803973197937,0.9993550181388855,0.9997360110282898,0.9997109770774841,0.9986029863357544
146681119698436001,111.969816656964,32.2377961966791,61,9,14,11,14,13,18.023000717163086,0.005915000103414059,18.454700469970703,0.006054999772459269,18.795400619506836,0.008081000298261642,19.08180046081543,0.016681000590324402,19.276100158691406,0.021705999970436096,18.018400192260742,0.010598000138998032,18.474899291992188,0.011770999990403652,18.806100845336914,0.01115300040692091,19.12689971923828,0.029735999181866646,19.349700927734375,0.057819001376628876,0.9993600249290466,0.9996910095214844,0.9987559914588928,0.9993190169334412,0.9989659786224365
117031237865415713,123.786584382335,7.52938146218938,29,4,10,9,6,0,19.757699966430664,0.0034360000863671303,20.145999908447266,0.0243539996445179,20.537700653076172,0.02280299924314022,20.79789924621582,0.07096700370311737,-999.0,-999.0,19.780899047851562,0.03770900145173073,20.327999114990234,0.041815001517534256,20.62470054626465,0.06663499772548676,20.709999084472656,0.1652829945087433,-999.0,-999.0,0.999364972114563,0.9996579885482788,0.9991520047187805,0.9988960027694702,-999.0
107351561288148089,156.128827855448,-0.535308919261393,53,12,13,10,12,6,18.8966007232666,0.012129000388085842,19.273099899291992,0.01626100018620491,19.57550048828125,0.02875399962067604,19.813800811767578,0.019071999937295914,19.90049934387207,0.10959400236606598,18.88479995727539,0.010184000246226788,19.291799545288086,0.025761999189853668,19.440399169921875,0.10204800218343735,19.757699966430664,0.02594500035047531,19.846200942993164,0.06003899872303009,0.999455988407135,0.9995899796485901,0.9983119964599609,0.9989200234413147,0.9991359710693359
87401677476402284,167.747646495964,-17.16507321715,61,9,12,15,14,11,17.90410041809082,0.012880999594926834,18.29210090637207,0.008371000178158283,18.608800888061523,0.008592000231146812,18.904199600219727,0.008963000029325485,19.10700035095215,0.042392000555992126,17.895200729370117,0.004097000230103731,18.301700592041016,0.010033000260591507,18.607099533081055,0.013403000310063362,18.957000732421875,0.019673999398946762,19.034400939941406,0.04297899827361107,0.9995430111885071,0.9994170069694519,0.9993249773979187,0.9997069835662842,0.9996709823608398
155931678637970024,167.863796076749,39.9411344676739,63,6,11,28,13,5,18.43320083618164,0.015471000224351883,18.899900436401367,0.009843000210821629,19.297000885009766,0.006206999998539686,19.55500030517578,0.02635899931192398,19.68720054626465,0.09836400300264359,18.411500930786133,0.014236999675631523,18.886199951171875,0.008472999557852745,19.26020050048828,0.010618999600410461,19.585899353027344,0.0250489991158247,19.628700256347656,0.07729999721050262,0.9997220039367676,0.9992989897727966,0.9996200203895569,0.9993020296096802,0.9981759786605835
110431817100904541,181.710050412202,2.028399932433,64,12,14,11,18,9,18.69860076904297,0.013288999907672405,19.047500610351562,0.012149999849498272,19.368600845336914,0.006310000084340572,19.64900016784668,0.014492000453174114,19.739999771118164,0.043807998299598694,18.693199157714844,0.011921999976038933,19.095699310302734,0.025691000744700432,19.38789939880371,0.019293999299407005,19.645000457763672,0.03116999939084053,19.66950035095215,0.12150599807500839,0.9998520016670227,0.9993839859962463,0.9991000294685364,0.9996709823608398,0.9996659755706787
162761835213366810,183.521293795965,45.6384914166142,105,16,12,34,15,28,17.795900344848633,0.0029200001154094934,18.225299835205078,0.006961999926716089,18.58489990234375,0.0051449998281896114,18.87969970703125,0.021801000460982323,19.071199417114258,0.015963999554514885,17.77899932861328,0.005934000015258789,18.236299514770508,0.006947000045329332,18.569499969482422,0.009554999880492687,18.848899841308594,0.017513999715447426,19.090499877929688,0.05713599920272827,0.9995560050010681,0.9996579885482788,0.9997569918632507,0.9994660019874573,0.9997280240058899
120251956434903476,195.643442791817,10.2107755470995,78,16,16,19,12,15,17.056400299072266,0.003386999946087599,17.501800537109375,0.004294999875128269,17.853300094604492,0.007275999989360571,18.1210994720459,0.005791000090539455,18.314800262451172,0.019310999661684036,17.052000045776367,0.003702000016346574,17.49449920654297,0.004519000183790922,17.85770034790039,0.0064849997870624065,18.114099502563477,0.00851299986243248,18.3262996673584,0.02457999996840954,0.9996790289878845,0.9990559816360474,0.9989920258522034,0.9983109831809998,0.999347984790802
104111986877165205,198.687698532455,-3.2376797164495,52,12,10,13,10,7,19.087099075317383,0.01094099972397089,19.568700790405273,0.023242000490427017,19.916200637817383,0.01603900082409382,20.194700241088867,0.03282599896192551,20.270000457763672,0.12776599824428558,19.07830047607422,0.01268799975514412,19.55590057373047,0.023127999156713486,19.88719940185547,0.029342999681830406,20.240299224853516,0.05961500108242035,20.34980010986328,0.1878879964351654,0.9991570115089417,0.9994609951972961,0.9996079802513123,0.998960018157959,0.9991430044174194
108952285886717975,228.588654868082,0.797905729952611,83,14,17,26,14,12,15.728099822998047,0.0024139999877661467,16.111299514770508,0.0056500001810491085,16.43429946899414,0.0024870000779628754,16.70509910583496,0.004495000001043081,16.882699966430664,0.008248000405728817,15.720399856567383,0.002735000103712082,16.100799560546875,0.003797000041231513,16.433700561523438,0.002254999941214919,16.714799880981445,0.004540999885648489,16.891700744628906,0.010998999699950218,0.9998639822006226,0.9994109869003296,0.9998310208320618,0.9990260004997253,0.9998210072517395
174922394391413855,239.43909741,55.76928134,62,8,14,18,11,11,17.491899490356445,0.005030999891459942,17.984699249267578,0.009855999611318111,18.3533992767334,0.003930000122636557,18.63909912109375,0.006182999815791845,18.781400680541992,0.03465399891138077,17.48740005493164,0.004557000007480383,17.957799911499023,0.0064929998479783535,18.35610008239746,0.005497999954968691,18.646900177001953,0.012732000090181828,18.829500198364258,0.05500200018286705,0.9998329877853394,0.9995759725570679,0.9994199872016907,0.9997000098228455,0.999800980091095
108942495015106395,249.50147803578,0.788265648233627,54,10,10,19,11,4,18.869400024414062,0.0062060002237558365,19.280000686645508,0.009850000031292439,19.625099182128906,0.00813900027424097,19.869699478149414,0.012377999722957611,20.05430030822754,0.039824001491069794,18.860000610351562,0.015042999759316444,19.314300537109375,0.02305700071156025,19.6112003326416,0.014205999672412872,19.815799713134766,0.047547999769449234,20.028600692749023,0.16353000700473785,0.9991639852523804,0.9992460012435913,0.9996269941329956,0.9993669986724854,0.9989849925041199
202682736002931825,273.600353923466,78.9008437069112,70,9,11,26,9,15,16.58970069885254,0.004052999895066023,16.999399185180664,0.004519000183790922,17.361499786376953,0.0030739998910576105,17.634899139404297,0.008299999870359898,17.823299407958984,0.01962999999523163,16.572799682617188,0.00471000000834465,17.006799697875977,0.002982999896630645,17.35849952697754,0.00368200009688735,17.651100158691406,0.009119999594986439,17.739500045776367,0.0411669984459877,0.9994170069694519,0.9993389844894409,0.9996709823608398,0.999642014503479,0.9996169805526733
101083154611083390,315.461107649158,-5.7641917119583,67,13,11,24,11,8,18.66830062866211,0.006763999816030264,19.065099716186523,0.01001999992877245,19.38290023803711,0.008383000269532204,19.663400650024414,0.014340999536216259,19.77560043334961,0.0544000007212162,18.652099609375,0.008302999660372734,19.052200317382812,0.007992999628186226,19.410400390625,0.0201019998639822,19.702800750732422,0.03756999969482422,19.9375,0.11574800312519073,0.9993029832839966,0.9996700286865234,0.9996219873428345,0.9996849894523621,0.9992030262947083
108223524222323007,352.422174804804,0.185452966971599,86,16,15,26,13,16,18.148399353027344,0.004573000129312277,18.466400146484375,0.006622999906539917,18.76020050048828,0.004095999989658594,18.948400497436523,0.012432999908924103,19.104000091552734,0.02441900037229061,18.1343994140625,0.004666000138968229,18.452299118041992,0.004858999978750944,18.7716007232666,0.009802999906241894,19.00320053100586,0.013458999805152416,19.096799850463867,0.058653999119997025,0.9997180104255676,0.9992210268974304,0.999879002571106,0.9996619820594788,0.9994180202484131
153513579345744806,357.934499123542,37.9285010851993,81,12,13,23,15,18,18.107099533081055,0.005663999821990728,18.454200744628906,0.009344999678432941,18.766300201416016,0.006525000091642141,18.981700897216797,0.016807999461889267,19.15180015563965,0.03790200129151344,18.084800720214844,0.002867999952286482,18.44729995727539,0.010990999639034271,18.776100158691406,0.012311000376939774,19.100099563598633,0.038008999079465866,19.297000885009766,0.05608600005507469,0.9996669888496399,0.9994699954986572,0.9999099969863892,0.9996200203895569,0.9992960095405579
