objID,detectID,imageID,filterid,filterType,obsTime,ra,dec,psfFlux,psfFluxErr,psfMajorFWHM,psfMinorFWHM,psfQfPerfect,apFlux,apFluxErr,infoFlag,infoFlag2,infoFlag3
108952285886717975,112464569250000150,12855425,4,z,55225.6458719,228.58864635,0.79791518,0.0007569600129500031,5.5487698773504235e-06,1.1153199672698975,1.0552699565887451,0.9986879825592041,0.0007420260226354003,4.259090019331779e-06,102760517,128,7374912
108952285886717975,112465383250000146,12857525,4,z,55225.6540106,228.58865047,0.7979193,0.0007449080003425479,5.418290129455272e-06,1.046820044517517,1.0016900300979614,0.9984109997749329,0.0007455780287273228,4.305250058678212e-06,102760517,128,7374912
108952285886717975,113759168230000192,13374723,5,y,55238.5918659,228.5886443,0.79792913,0.0006182800279930234,9.771169970917981e-06,1.0709400177001953,0.9865549802780151,0.9978359937667847,0.0006175229791551828,6.115979886089917e-06,102760517,128,7374912
108952285886717975,113760105230000193,13376323,5,y,55238.6012296,228.58864625,0.79792596,0.0006311159813776612,9.274350304622203e-06,0.9906759858131409,0.9330310225486755,0.9979239702224731,0.000603861000854522,6.0488700910354964e-06,102760517,128,7374912
108952285886717975,115362648230000152,14265723,4,z,55254.6266663,228.58864133,0.79791982,0.0007298020063899457,5.641620191454422e-06,1.0068000555038452,0.9031680226325989,0.9986199736595154,0.0007387310033664107,4.333860033511883e-06,102760517,128,7342144
108952285886717975,115363611230000149,14267323,4,z,55254.6362867,228.58864454,0.79791739,0.000747754005715251,5.743780093325768e-06,0.9819459915161133,0.879967987537384,0.9983890056610107,0.0007589210290461779,4.498529960983433e-06,102760517,128,7342144
108952285886717975,120255527440000056,15844044,1,g,55303.5555892,228.58865292,0.79791914,0.001829709974117577,5.030380179960048e-06,1.733240008354187,1.4876699447631836,0.9984660148620605,0.0018629999831318855,4.753720077133039e-06,102760517,128,24152128
108952285886717975,120256461440000054,15845144,1,g,55303.5649253,228.58865779,0.79792659,0.001861009979620576,5.068130121799186e-06,1.7975900173187256,1.5052299499511719,0.9986940026283264,0.0018710599979385734,4.765799985761987e-06,102760517,128,7374912
108952285886717975,120536723330000122,15961733,2,r,55306.3674425,228.58862777,0.79791139,0.0012893499806523323,6.020969976816559e-06,3.253109931945801,3.1403000354766846,0.9994109869003296,0.0013066700194031,4.253759925632039e-06,102760517,128,7342144
108952285886717975,120537527330000110,15963133,2,r,55306.3754888,228.58862845,0.79792367,0.0012766800355166197,5.244639851298416e-06,2.4361400604248047,2.2983999252319336,0.9990839958190918,0.0012957199942320585,4.231850198266329e-06,102760517,128,24119360
108952285886717975,122934862220000056,16721922,1,g,55330.3488772,228.58863855,0.79792436,0.0018665899988263845,5.488339866133174e-06,2.0818300247192383,2.042330026626587,0.9998639822006226,0.0018840499687939882,5.227740075497422e-06,102760517,128,7374912
108952285886717975,122936086220000047,16723722,1,g,55330.36112,228.58864559,0.79791808,0.0018485599430277944,5.320040145306848e-06,1.4413800239562988,1.4191999435424805,0.9989879727363586,0.001875080051831901,5.280369805404916e-06,102760517,128,7374912
108952285886717975,123739510220000099,17074322,2,r,55338.3953457,228.5886426,0.79791751,0.0013142999960109591,4.552449809125392e-06,1.433519959449768,1.3644499778747559,0.9980739951133728,0.0013326100306585431,4.117770004086196e-06,102760517,128,7374912
108952285886717975,123740710220000087,17076322,2,r,55338.4073383,228.58865426,0.79790577,0.0013419099850580096,4.6752697926422115e-06,1.629330039024353,1.5669200420379639,0.9983459711074829,0.001362189999781549,4.115289812034462e-06,102760517,128,57706560
108952285886717975,129826502460000198,19479646,4,z,55399.2652003,228.58863669,0.79792071,0.0007544290274381638,1.2610799785761628e-05,1.133239984512329,1.0854400396347046,0.9899380207061768,0.0006743079866282642,5.301690180203877e-06,102760453,128,40896576
108952285886717975,129827606460000193,19481846,4,z,55399.2762495,228.58864522,0.79791709,0.0007758989813737571,7.805229870427866e-06,1.2617299556732178,1.1957900524139404,0.9872599840164185,0.000762437004595995,4.651709787140135e-06,102760517,128,7342144
108952285886717975,130030818360000182,19597836,5,y,55401.3083571,228.58865042,0.79792011,0.0006247219862416387,1.0123600077349693e-05,1.3925700187683105,1.2918399572372437,0.9994750022888184,0.0006064940243959427,6.300229870248586e-06,102760517,128,7342144
108952285886717975,130031946360000226,19600036,5,y,55401.3196524,228.5885795,0.79790845,0.0006607199902646244,1.7645499610807747e-05,3.151930093765259,2.9414501190185547,0.9998210072517395,0.0006653760210610926,6.379149908752879e-06,102760517,128,7342144
108952285886717975,153557840210000170,31160121,5,y,55636.578583,228.58863314,0.7979281,0.0006384840235114098,1.312099993810989e-05,1.791759967803955,1.7323600053787231,0.9993990063667297,0.0006261889939196408,6.006489911669632e-06,102760453,128,7374912
108952285886717975,153559143210000193,31162721,5,y,55636.5916118,228.58863521,0.79791631,0.0006517809815704823,1.0357700375607237e-05,1.2166800498962402,1.18503999710083,0.9980239868164062,0.000671823974698782,6.400340225809487e-06,102760453,128,7374912
108952285886717975,159337194120000080,33542112,2,r,55694.3721807,228.58864335,0.79791236,0.0013127500424161553,4.6362501961993985e-06,0.998993992805481,0.9822360277175903,0.9987949728965759,0.00131308997515589,4.2158999349339865e-06,102760517,128,7342144
108952285886717975,159338166120000079,33543712,2,r,55694.3819029,228.58864474,0.79791337,0.0013126200065016747,6.207740170793841e-06,0.9567819833755493,0.9020940065383911,0.9972659945487976,0.0012976799625903368,4.99794987263158e-06,102760517,128,7342144
108952285886717975,159339317120000113,33545512,3,i,55694.3934384,228.58864554,0.79791263,0.0009686709963716567,4.978050128556788e-06,0.9586989879608154,0.9363129734992981,0.998170018196106,0.0009633579757064581,3.980129804403987e-06,102760517,128,7342144
108952285886717975,159340409120000118,33547012,3,i,55694.4043634,228.58864439,0.79791155,0.0009707200224511325,3.9131700759753585e-06,0.9550349712371826,0.900600016117096,0.9972760081291199,0.0009689439903013408,3.5634800497064134e-06,102760517,128,7342144
108952285886717975,165727063130000261,36269613,5,y,55758.2708155,228.58864438,0.79791444,0.0006271100137382746,9.713049621495884e-06,0.9237440228462219,0.7869240045547485,0.9580540060997009,0.0005716710002161562,6.319509793684119e-06,102760517,128,40929344
108952285886717975,166325700130000178,36634813,4,z,55764.2571843,228.58864786,0.79791236,0.0007323509780690074,6.699140158161754e-06,1.8283100128173828,1.7802300453186035,0.9990260004997253,0.0007420990150421858,4.246589924150612e-06,102760517,128,7342144
108952285886717975,166326873130000163,36637113,4,z,55764.2689189,228.58864155,0.79792241,0.0007406059885397553,5.696089829143602e-06,1.457319974899292,1.3323899507522583,0.9989039897918701,0.0007359390147030354,4.276680101611419e-06,102760517,128,7342144
108952285886717975,186562104110000171,45208211,5,y,55966.6212253,228.58865315,0.79791245,0.0006405360181815922,9.946889804268721e-06,1.232450008392334,1.1423799991607666,0.9994959831237793,0.0006265980191528797,6.1858600020059384e-06,102760453,128,7374912
108952285886717975,186563218110000174,45210511,5,y,55966.6323637,228.58865257,0.7979022,0.0006396829849109054,9.057290299097076e-06,1.0069299936294556,0.9624829888343811,0.9982190132141113,0.0006516230059787631,6.368899903463898e-06,102760517,128,7374912
