objID,detectID,imageID,filterid,filterType,obsTime,ra,dec,psfFlux,psfFluxErr,psfMajorFWHM,psfMinorFWHM,psfQfPerfect,apFlux,apFluxErr,infoFlag,infoFlag2,infoFlag3
127060881152804422,108138300730000039,11220073,2,r,55182.3833587,88.1152838,15.88655659,0.02006619982421398,1.672349935688544e-05,1.4050500392913818,1.1094199419021606,0.4472300112247467,0.006686040200293064,7.394779913738603e-06,103809157,128,32768
127060881152804422,108139170730000035,11221073,2,r,55182.3920543,88.11528493,15.88655807,0.019390100613236427,1.5457400877494365e-05,1.5380100011825562,1.157829999923706,0.1019899994134903,0.008029289543628693,8.061139851633925e-06,103809157,160,32768
127060881152804422,109844721260000014,11821126,2,r,55199.4473955,88.11529902,15.88652929,0.016816599294543266,1.568729931022972e-05,1.099519968032837,1.048069953918457,0.9981330037117004,0.017782699316740036,1.671760037424974e-05,640696327,128,34880
127060881152804422,109845552260000027,11822626,2,r,55199.4557069,88.1153032,15.88653363,0.017084699124097824,1.5731600797153078e-05,1.1632399559020996,1.0822999477386475,0.9981549978256226,0.017874199897050858,1.6769099602242932e-05,640696327,128,34880
127060881152804422,110632528730000040,12151973,2,r,55207.3256415,88.11528753,15.88655629,0.01874930039048195,1.5380499462480657e-05,1.7167199850082397,1.2493599653244019,0.5630509853363037,0.007557960227131844,7.782199645589571e-06,103809157,128,32768
127060881152804422,110633436730000048,12153073,2,r,55207.3347152,88.11528734,15.88655597,0.01978199928998947,1.6380599845433608e-05,1.4723000526428223,1.2768499851226807,0.5090519785881042,0.007166860159486532,7.597579951834632e-06,103809157,128,32768
127060881152804422,114121878240000176,13556124,5,y,55242.2189678,88.11530014,15.88652566,0.007969680242240429,2.4145099814631976e-05,1.0540800094604492,0.842585027217865,0.9973130226135254,0.008022580295801163,2.241520087409299e-05,102760517,128,7374912
127060881152804422,114122730240000170,13557724,5,y,55242.2274862,88.11530053,15.88652476,0.007976040244102478,2.369009962421842e-05,1.1343499422073364,0.9496790170669556,0.9985960125923157,0.008031729608774185,2.210360071330797e-05,102760517,128,7374912
127060881152804422,139051844350000153,24366535,5,y,55491.5186337,88.11532535,15.88648062,0.008013349957764149,2.5508699764031917e-05,1.304479956626892,1.1366300582885742,0.99863600730896,0.008509930223226547,2.3357199097517878e-05,102760517,128,108038208
127060881152804422,139052952350000183,24368535,5,y,55491.5297092,88.115327,15.88649294,0.007923100143671036,2.4949600629042834e-05,1.2733999490737915,1.1482399702072144,0.997527003288269,0.00807925034314394,2.263160058646463e-05,102760517,128,7374912
127060881152804422,140665368320000142,25193232,4,z,55507.6538632,88.11532896,15.88648972,0.009622519835829735,1.7217500499100424e-05,1.8035500049591064,1.6578400135040283,0.9983329772949219,0.00982598029077053,1.5691299267928116e-05,102760517,128,7374912
127060881152804422,140762861320000129,25248832,4,z,55508.6287925,88.11532716,15.886489,0.009731469675898552,1.5560999599983916e-05,1.1277899742126465,1.014240026473999,0.996882975101471,0.009819789789617062,1.591299951542169e-05,102760517,128,7374912
127060881152804422,142659998510000043,26105151,3,i,55527.6002552,88.11532983,15.88648341,0.012553899548947811,1.1534099940035958e-05,1.4852900505065918,1.3210500478744507,0.5147709846496582,0.012873100116848946,1.2598299690580461e-05,640679941,160,34880
127060881152804422,142661201510000081,26106851,3,i,55527.6122826,88.11533287,15.88648165,0.01250549964606762,1.1609299690462649e-05,1.6530699729919434,1.5120500326156616,0.38882899284362793,0.012815100140869617,1.248440003109863e-05,639631429,160,34880
127060881152804422,145449997040000090,26790204,3,i,55555.5002458,88.1153161,15.88648521,0.01237419992685318,1.267789957637433e-05,1.9379299879074097,1.765779972076416,0.0,0.010441900230944157,1.1142399671371095e-05,639631493,160,34880
127060881152804422,145451210040000109,26792104,3,i,55555.5123748,88.11530823,15.8864647,0.014544700272381306,1.7695800124784e-05,1.546429991722107,1.4508800506591797,0.0,0.009218480437994003,1.1851099770865403e-05,102760581,160,0
127060881152804422,146532085750000054,27321775,1,g,55566.3211074,88.1152646,15.88643104,0.013876199722290039,1.4188000022841152e-05,1.1198500394821167,1.0335099697113037,0.20928199589252472,0.017535999417304993,1.6015799701563083e-05,639631493,160,34880
127060881152804422,146533283750000063,27323475,1,g,55566.3330917,88.11529779,15.88644682,0.014380799606442451,1.3760700312559493e-05,1.115779995918274,1.0836800336837769,0.14227500557899475,0.019996900111436844,1.711269942461513e-05,639647751,160,34880
127060881152804422,153531056040000126,31123204,4,z,55636.3107496,88.11532658,15.88646804,0.009755659848451614,1.6884800061234273e-05,2.051379919052124,1.9504599571228027,0.999364972114563,0.009972359985113144,1.5409599654958583e-05,102760517,128,108005440
127060881152804422,153532468040000120,31119404,4,z,55636.3248666,88.11533379,15.88646844,0.009771590121090412,1.728939969325438e-05,2.120310068130493,2.01557993888855,0.9989989995956421,0.009999300353229046,1.548990076116752e-05,102760517,128,108005440
127060881152804422,153629219040000151,31194104,5,y,55637.2923753,88.11532292,15.8864714,0.00813916977494955,2.8765600291080773e-05,1.9062800407409668,1.8578100204467773,0.999206006526947,0.00822249986231327,2.1962900063954294e-05,102760517,128,7342144
127060881152804422,153630613040000153,31196704,5,y,55637.3063123,88.11532587,15.88647554,0.008006960153579712,2.8162099624751136e-05,1.9582899808883667,1.8814400434494019,0.9782379865646362,0.007976500317454338,2.1287400159053504e-05,102760517,128,74451008
