id,u_g,g_r,r_i,i_z,z_y
0,-0.3453450145623975,-0.5704847431353386,-0.3930332370245537,-0.327471785020947,-0.1540420630537085
1,-0.3344287878991068,-0.5649119455362879,-0.39039148967793125,-0.32569724304776315,-0.15296942129608482
2,-0.331516181918758,-0.5633224831264698,-0.3899461695605311,-0.32541101274411943,-0.1528198378027099
3,-0.335810629615537,-0.5508375167175288,-0.3851559544297274,-0.3203832455099018,-0.1531502415389241
4,-0.33258889410058146,-0.5495727059971856,-0.3846859924846697,-0.3200380562868048,-0.1528418915039822
5,-0.3291850358085213,-0.5483650255822141,-0.3844587157414239,-0.31985998079628075,-0.15267082673684484
6,-0.32551118855032257,-0.5475019705587627,-0.3847831717038659,-0.3199661268871523,-0.15251343407601325
7,-0.3211859133652979,-0.5470032932419286,-0.3854763249490034,-0.32010030092460795,-0.15229525358734008
8,-0.3161364774026012,-0.5465082962942631,-0.38622169719776167,-0.31984879152987133,-0.15198059097283334
9,-0.3100678785094928,-0.5453295510940563,-0.3864178838238388,-0.3188991665064478,-0.15130311182801393
10,-0.30252059800771036,-0.5430649077756016,-0.3858196203220601,-0.3172325878426747,-0.15017310871704836
11,-0.2813190997537376,-0.5345910294220886,-0.3821342607925189,-0.31165783289746685,-0.14661486685665892
12,-0.2093519444363494,-0.4989227742958633,-0.3621482154873803,-0.28978146005012206,-0.13534459523188502
13,-0.08810898716980375,-0.44636910012706466,-0.33057133086967383,-0.25152903268696036,-0.11791644536957335
14,0.025736831714425534,-0.3962925796573771,-0.30211550620443006,-0.21299872776675244,-0.1018512304605963
15,0.15636872614915376,-0.3491293223676024,-0.2744628908529947,-0.16577500593127326,-0.08307745283277512
16,0.38203249549238194,-0.2682514226008834,-0.2287170042986446,-0.11785748286067843,-0.05064429887243449
17,0.41428385028091697,-0.2503940370964841,-0.2194927742727657,-0.11416125152370427,-0.046833947975791546
18,0.4753770296116713,-0.20317030488678256,-0.19517190138319762,-0.10716542187437739,-0.040025748841578945
19,0.5220370892518531,-0.12973518288592345,-0.16080223786235592,-0.10054912708107366,-0.0346899550433335
20,0.5636003901074531,0.06407996236002589,-0.06286705740350129,-0.07371852055645434,-0.027291351911763684
21,0.5791224314512249,0.11527629515818916,-0.03638321878947437,-0.06239689342680066,-0.024562858358521567
22,0.638587238392688,0.22423830981217208,0.01640065394720125,-0.034620110513728264,-0.016280897032814323
23,0.6944249393208537,0.28373038848868504,0.042665526323773406,-0.018537917436148632,-0.010428173857988554
24,0.7918717713928842,0.35726447766226244,0.07110114935015588,-0.0015322448024903679,-0.004242611126613838
25,0.9162874763032036,0.4243523380755718,0.09746560204767007,0.017545777002823115,0.004200443837198975
26,1.0732412376628417,0.4977177737101073,0.12582314964154762,0.03835736686716018,0.013947220671532534
27,1.254738147760996,0.5774935058149921,0.1568820510205171,0.06135474801991592,0.024969497890545256
28,1.622796990667979,0.7758367825573984,0.23393718247248074,0.11775326608850634,0.050997666672820685
29,1.7888801712777038,0.910284191539148,0.2847112672014802,0.15312060860438947,0.06540064643127153
30,1.935332131276347,1.0698876705310312,0.35680337661055006,0.1946578636552303,0.07892790162853203
31,2.0087650255545313,1.2185865928864388,0.46384613738845104,0.24461470627155535,0.09188422370012717
32,2.031393719343413,1.313936688608024,0.6042504160316255,0.3058587495764442,0.10835498325209159
33,2.06232462690825,1.3971512717555044,0.7870014700664214,0.37892103594052173,0.12957062368944605
34,2.1562208892978134,1.465077680370591,0.7520591098669556,0.3697296760800626,0.12585690508481662
35,-0.290705551996993,-0.5220846785348243,-0.37629327546002145,-0.30706061989327793,-0.14750993945609991
36,-0.007826760436124403,-0.3962253650106149,-0.30173930182983355,-0.20753046861965885,-0.10633990401453275
37,0.8819718895788213,0.4029370326709838,0.09321958870528846,0.019162467530222216,0.005848863358018264
38,1.2218053951259193,0.5691923505965804,0.15688532738356997,0.06216032147644057,0.026341780190762165
39,1.712523938287113,0.7694768987894349,0.23061835772308115,0.11615607579125964,0.053725986378921675
40,2.5105075962392007,1.1793929615720344,0.42221756325994164,0.2461067694255874,0.1073152959718513
41,2.64948409896159,1.3552124846515312,0.5837768039030138,0.3236764960483356,0.1313898050017812
42,-0.2771258793606961,-0.48748220289613897,-0.35968401523670224,-0.2953668632866524,-0.14480221733297327
43,-0.03504971509148902,-0.36613526680800135,-0.28703980483057734,-0.19157016851369946,-0.1110295734132265
44,0.14090583245658195,-0.27283452079930726,-0.23242995946593936,-0.0827133632192556,-0.08847769868442867
